IL: Illinois, Lifetables (period 5x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02136	0.02096	0.11	100000	2096	98140	7318101	73.18
1960-1964	1-4	0.00089	0.00355	1.57	97904	347	390770	7219961	73.75
1960-1964	5-9	0.00037	0.00183	2.16	97557	178	487278	6829191	70.00
1960-1964	10-14	0.00032	0.00159	2.6	97379	155	486521	6341913	65.13
1960-1964	15-19	0.00054	0.00269	2.76	97224	261	485532	5855392	60.23
1960-1964	20-24	0.00070	0.00349	2.55	96962	338	483983	5369859	55.38
1960-1964	25-29	0.00088	0.00438	2.61	96624	423	482107	4885876	50.57
1960-1964	30-34	0.00126	0.00626	2.64	96201	602	479581	4403769	45.78
1960-1964	35-39	0.00194	0.00966	2.6	95599	923	475779	3924189	41.05
1960-1964	40-44	0.00286	0.01418	2.64	94675	1343	470202	3448410	36.42
1960-1964	45-49	0.00442	0.02186	2.66	93333	2040	461884	2978208	31.91
1960-1964	50-54	0.00668	0.03289	2.64	91293	3003	449374	2516324	27.56
1960-1964	55-59	0.00971	0.04748	2.64	88290	4192	431545	2066950	23.41
1960-1964	60-64	0.01494	0.07216	2.64	84098	6069	406186	1635405	19.45
1960-1964	65-69	0.02362	0.11184	2.63	78029	8727	369425	1229219	15.75
1960-1964	70-74	0.03841	0.17602	2.63	69303	12199	317583	859794	12.41
1960-1964	75-79	0.06070	0.26432	2.56	57104	15094	248639	542211	9.50
1960-1964	80-84	0.10207	0.40620	2.49	42011	17065	167180	293572	6.99
1960-1964	85-89	0.16417	0.57146	2.34	24946	14256	86834	126392	5.07
1960-1964	90-94	0.24527	0.72281	2.16	10690	7727	31504	39558	3.70
1960-1964	95-99	0.35248	0.84600	1.93	2963	2507	7112	8054	2.72
1960-1964	100-104	0.47646	0.92262	1.68	456	421	884	942	2.06
1960-1964	105-109	0.60410	0.96203	1.46	35	34	56	58	1.65
1960-1964	110+	0.70386	1.00000	1.42	1	1	2	2	1.42
1965-1969	0	0.02143	0.02103	0.11	100000	2103	98135	7337791	73.38
1965-1969	1-4	0.00083	0.00332	1.6	97897	325	390807	7239656	73.95
1965-1969	5-9	0.00034	0.00171	2.24	97572	166	487402	6848849	70.19
1965-1969	10-14	0.00029	0.00145	2.69	97406	141	486703	6361448	65.31
1965-1969	15-19	0.00062	0.00309	2.7	97265	300	485634	5874745	60.40
1965-1969	20-24	0.00075	0.00374	2.56	96965	363	483936	5389111	55.58
1965-1969	25-29	0.00089	0.00446	2.58	96602	431	481966	4905175	50.78
1965-1969	30-34	0.00135	0.00673	2.64	96171	647	479329	4423209	45.99
1965-1969	35-39	0.00201	0.00999	2.68	95524	954	475403	3943881	41.29
1965-1969	40-44	0.00301	0.01493	2.67	94569	1412	469559	3468478	36.68
1965-1969	45-49	0.00454	0.02246	2.62	93158	2092	460807	2998918	32.19
1965-1969	50-54	0.00655	0.03227	2.65	91066	2939	448416	2538111	27.87
1965-1969	55-59	0.00948	0.04635	2.63	88127	4085	430967	2089695	23.71
1965-1969	60-64	0.01430	0.06914	2.61	84042	5810	406317	1658729	19.74
1965-1969	65-69	0.02270	0.10772	2.63	78232	8427	371191	1252412	16.01
1965-1969	70-74	0.03646	0.16780	2.63	69805	11713	321261	881221	12.62
1965-1969	75-79	0.05945	0.25963	2.56	58092	15082	253682	559960	9.64
1965-1969	80-84	0.09919	0.39740	2.5	43010	17092	172310	306278	7.12
1965-1969	85-89	0.15899	0.55944	2.35	25918	14500	91200	133969	5.17
1965-1969	90-94	0.24181	0.71933	2.18	11418	8213	33966	42769	3.75
1965-1969	95-99	0.34822	0.84249	1.94	3205	2700	7754	8802	2.75
1965-1969	100-104	0.47310	0.92127	1.69	505	465	983	1049	2.08
1965-1969	105-109	0.60213	0.96168	1.46	40	38	63	66	1.65
1965-1969	110+	0.70308	1.00000	1.42	2	2	2	2	1.42
1970-1974	0	0.01832	0.01802	0.1	100000	1802	98386	7440495	74.40
1970-1974	1-4	0.00072	0.00287	1.6	98198	282	392115	7342109	74.77
1970-1974	5-9	0.00032	0.00158	2.35	97916	154	489172	6949994	70.98
1970-1974	10-14	0.00030	0.00152	2.63	97762	148	488458	6460822	66.09
1970-1974	15-19	0.00062	0.00307	2.73	97614	300	487387	5972364	61.18
1970-1974	20-24	0.00075	0.00372	2.46	97313	362	485648	5484977	56.36
1970-1974	25-29	0.00084	0.00421	2.57	96952	408	483767	4999329	51.57
1970-1974	30-34	0.00121	0.00602	2.69	96544	581	481377	4515562	46.77
1970-1974	35-39	0.00181	0.00899	2.69	95962	863	477821	4034185	42.04
1970-1974	40-44	0.00286	0.01423	2.7	95099	1353	472381	3556364	37.40
1970-1974	45-49	0.00426	0.02107	2.64	93746	1975	464066	3083983	32.90
1970-1974	50-54	0.00610	0.03005	2.64	91771	2757	452359	2619916	28.55
1970-1974	55-59	0.00911	0.04457	2.62	89014	3968	435611	2167557	24.35
